OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,INSTALL_MO,INSTALL_YR,UPDATE_MO,UPDATE_YR,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
173,26376000,"N,S",MASONIC AVE,HAYES ST,INTERSECTION SHARROW,3,8,2018,8,2019,POINT (-122.446075 37.77393),24,7,11,18,24
71,30755000,,MARKET ST,VALENCIA ST,INTERSECTION SHARROW,4,,2012,1,2020,POINT (-122.42261 37.7725),32,1,10,20,32
85,25853000,,VALENCIA ST,MCCOPPIN ST,TWO-STAGE LEFT,1,,2014,,,POINT (-122.422516 37.77159),32,1,10,20,32
189,25806000,,MARKET ST,SANCHEZ ST,MIXING ZONE,1,11,2016,,,POINT (-122.431015 37.76586),37,3,5,5,37
133,24403000,,DUBOCE AVE,VALENCIA ST,BIKE SIGNAL,4,8,2019,,,POINT (-122.42235 37.769863),53,3,2,20,53
122,27741000,,34TH AVE,LINCOLN WAY,BIKE SIGNAL,2,1,2019,,,POINT (-122.49332 37.76473),39,10,7,35,39
33,30755000,,MARKET ST,VALENCIA ST,BIKE SIGNAL,2,,2012,,,POINT (-122.42261 37.7725),32,1,10,20,32
59,25211000,,POLK ST,AUSTIN ST,INTERSECTION SHARROW,2,5,2019,,,POINT (-122.42039 37.78916),50,4,3,21,50
147,24238000,,11TH ST,FOLSOM ST,MIXING ZONE,1,3,2018,,,POINT (-122.41402 37.77186),32,1,10,34,32
195,25865000,,MARKET ST,DOLORES ST,INTERSECTION SHARROW,2,11,2016,,,POINT (-122.42684 37.76904),37,3,5,20,37
45,24244000,,FOLSOM ST,JUNIPER ST,INTERSECTION SHARROW,1,1,2018,,,POINT (-122.41341 37.77234),32,1,10,34,32
22,30045000,,MCALLISTER ST,CHARLES J BRENHAM PL,INTERSECTION SHARROW,1,4,2017,,,POINT (-122.41313 37.78099),20,5,10,36,20
12,27191000,,ARGUELLO BLVD,FULTON ST,MIXING ZONE,1,10,2016,,,POINT (-122.45836 37.774303),9,8,4,12,9
106,24310000,,8TH ST,MINNA ST,INTERSECTION SHARROW,1,5,2017,,,POINT (-122.412605 37.777023),32,1,10,34,32
162,24535000,,2ND ST,CLEMENTINA ST,INTERSECTION SHARROW,1,11,2018,,,POINT (-122.397224 37.785957),32,1,10,8,32
2,23592000,,THE EMBARCADERO,TOWNSEND ST,TWO-STAGE LEFT,1,,2015,,,POINT (-122.38828 37.781796),31,1,10,4,31
15,27575000,,ARGUELLO BLVD,WASHINGTON ST,MIXING ZONE,1,10,2016,,,POINT (-122.45937 37.7884),10,8,6,31,10
97,20815000,,BAYSHORE BLVD,FLOWER ST,INTERSECTION SHARROW,1,4,2018,,,POINT (-122.40557 37.74245),82,2,9,1,82
